hand management,20640.0
variable player powers,20152.0
dice rolling,17112.0
action point allowance system,11542.0
simultaneous action selection,11194.0
set collection,10766.0
area influence,9030.0
card drafting,8125.0
area control,7740.0
tile placement,7448.0
modular board,7436.0
hex-and-counter,6795.0
co-operative play,6596.0
point to point movement,6371.0
worker placement,5264.0
area movement,4355.0
grid movement,4173.0
network building,4112.0
secret unit deployment,3740.0
pool building,3640.0
partnerships,3528.0
battle card driven,3492.0
pick-up and deliver,3458.0
press your luck,3360.0
simulation,3060.0
player elimination,2970.0
variable phase order,2800.0
auction,2660.0
bidding,2660.0
movement programming,2620.0
pattern building,2464.0
role playing,1992.0
commodity speculation,1869.0
pattern recognition,1729.0
take that,1728.0
campaign,1552.0
stock holding,1521.0
spin and move,1391.0
route,1285.0
chit-pull system,1168.0
deck,1120.0
memory,1086.0
trick-taking,1080.0
area enclosure,1064.0
storytelling,1056.0
paper-and-pencil,1024.0
trading,1008.0
action,786.0
wagering,728.0
voting,696.0
none,648.0
betting,637.0
rock-paper-scissors,570.0
roll,428.0
time track,390.0
line drawing,300.0
crayon rail system,288.0
area-impulse,276.0
acting,276.0
singing,21.0
